"season","player_name","avg_passing_epa","avg_rushing_epa","avg_fantasy_points","tot_completions","tot_attempts","tot_passing_yards","tot_passing_tds","tot_ints","tot_carries","tot_rushing_yards","tot_rushing_tds","passing_yard_rank","fantasy_rank","rushing_yard_rank","passing_td_rank","rushing_td_rank","completion_percentage","comp_percentage_rank","passing_epa_rank"
2017,"T.Savage",-6.04689104686294,NA,6.335,125,223,1412,5,6,4,2,0,35,40,39,38,40,0.560538116591928,35,34
2017,"T.Siemian",-4.34364464591672,NA,11.4636363636364,206,349,2285,12,14,31,127,1,27,32,19,28,25,0.590257879656161,31,32
2017,"T.Taylor",NA,NA,6.76217391304348,263,420,2799,14,4,92,470,4,25,38,3,25,8,0.626190476190476,16,40
2018,"A.Dalton",2.48882034616488,NA,15.8672727272727,226,365,2566,21,11,16,99,0,25,20,24,17,26,0.619178082191781,30,19
2018,"A.Luck",6.94874187757926,NA,20.4325,430,639,4593,39,15,46,148,0,5,6,15,2,27,0.672926447574335,12,8
2018,"A.Rodgers",3.3011311302471,NA,19.53625,372,597,4442,25,2,43,269,2,6,9,12,13,10,0.623115577889447,28,16
2018,"A.Smith",-0.661701282148842,1.19279611891252,13.8,205,328,2180,10,5,41,168,1,31,26,13,32,18,0.625,27,27
2018,"B.Bortles",-1.8132173629055,1.19551234484914,13.3246153846154,243,403,2718,13,11,58,365,1,24,29,7,27,19,0.602977667493797,33,33
2018,"B.Mayfield",2.7097886799578,NA,17.15,310,486,3725,27,14,39,131,0,17,19,19,11,28,0.637860082304527,25,18
2018,"B.Osweiler",-1.36212638797137,NA,9.71142857142857,113,178,1247,6,4,8,21,0,36,37,34,36,29,0.634831460674157,26,31
2018,"B.Roethlisberger",8.9317048195357,NA,21.30375,452,675,5129,34,16,31,98,3,1,3,25,5,7,0.66962962962963,13,3
2018,"C.Beathard",-4.85629333501163,-0.00526119611639144,14.996,102,169,1252,8,7,19,69,1,35,25,29,34,20,0.603550295857988,32,34
2018,"C.Keenum",-1.04692238104652,NA,13.43125,365,586,3890,18,15,26,93,2,14,28,26,23,11,0.622866894197952,29,30
2018,"C.Newton",2.29523991252366,0.727931119375301,20.1857142857143,320,471,3395,24,13,101,488,4,19,8,4,14,5,0.679405520169851,10,20
2018,"C.Wentz",3.20185446305809,-0.163268773199273,17.5145454545455,279,401,3074,21,7,34,93,0,21,18,27,18,30,0.695760598503741,4,17
2018,"D.Brees",10.6132636700659,NA,20.2653333333333,364,489,3992,32,5,31,22,4,13,7,33,6,6,0.744376278118609,1,2
2018,"D.Carr",-0.172520160286643,NA,13.485,381,553,4049,19,10,24,47,1,12,27,30,21,21,0.688969258589512,6,26
2018,"D.Prescott",1.52698963272256,NA,17.86875,356,526,3885,22,8,75,305,6,15,13,9,16,2,0.67680608365019,11,23
2018,"D.Watson",3.82645599016627,0.620932099054837,20.73125,345,505,4165,26,9,99,551,5,11,4,3,12,3,0.683168316831683,8,13
2018,"E.Manning",1.73958399932362,NA,14.9975,380,576,4299,21,11,15,20,1,9,24,35,19,22,0.659722222222222,18,22
2018,"J.Allen",NA,NA,11.5939130434783,169,320,2074,10,12,130,741,11,32,34,1,33,1,0.528125,38,37
2018,"J.Driskel",-1.79971478657102,0.878685115683766,10.64,105,176,1003,6,2,25,130,2,38,35,20,37,12,0.596590909090909,34,32
2018,"J.Flacco",2.12994316861775,NA,15.2333333333333,232,379,2465,12,6,19,45,0,27,22,31,29,31,0.612137203166227,31,21
2018,"J.Goff",7.23438946430462,-0.595676502252325,19.395,364,561,4688,32,12,43,108,2,4,10,23,7,13,0.648841354723708,21,7
2018,"J.Rosen",-10.8346936753492,NA,8.06571428571429,217,393,2278,11,14,23,138,0,29,38,17,30,32,0.552162849872774,37,36
2018,"J.Winston",4.230580928778,1.2283188006865,17.7981818181818,244,378,2992,19,14,49,281,1,22,15,10,22,23,0.645502645502645,22,10
2018,"K.Cousins",-0.753854977853622,NA,17.6325,425,606,4298,30,10,44,123,1,10,16,22,9,24,0.701320132013201,3,28
2018,"L.Jackson",NA,NA,9.84625,99,170,1201,6,3,147,695,5,37,36,2,38,4,0.582352941176471,35,38
2018,"M.Mariota",0.652928421352531,0.687213755541182,12.4942857142857,228,331,2528,11,8,64,357,2,26,33,8,31,14,0.688821752265861,7,24
2018,"M.Ryan",7.63426504210616,NA,22.1225,422,608,4924,35,7,33,125,3,3,2,21,3,8,0.694078947368421,5,5
2018,"M.Stafford",0.641027033909634,NA,13.26125,367,555,3777,21,11,25,71,0,16,30,28,20,33,0.661261261261261,16,25
2018,"M.Trubisky",3.55984347806166,2.02810839529322,18.7871428571429,289,434,3223,24,12,68,421,3,20,11,5,15,9,0.665898617511521,15,14
2018,"N.Foles",3.33848218969505,1.65641690974589,15.144,141,195,1413,7,4,9,17,0,34,23,36,35,34,0.723076923076923,2,15
2018,"N.Mullens",3.88967765169793,NA,15.435,176,274,2277,13,10,18,-16,0,30,21,38,28,35,0.642335766423358,23,12
2018,"P.Mahomes",13.919275255196,0.88880360178123,26.0675,383,580,5097,50,12,60,272,2,2,1,11,1,15,0.660344827586207,17,1
2018,"P.Rivers",8.46823864074869,NA,17.81375,347,508,4308,32,12,18,7,0,8,14,37,8,36,0.683070866141732,9,4
2018,"R.Fitzpatrick",7.44602765710597,NA,20.73,164,246,2366,17,12,36,152,2,28,5,14,24,16,0.666666666666667,14,6
2018,"R.Tannehill",-5.0621258561942,-0.978344147118187,12.9054545454545,176,274,1979,17,9,32,145,0,33,32,16,25,37,0.642335766423358,24,35
2018,"R.Wilson",3.93543495197027,NA,18.65125,280,427,3448,35,7,67,376,0,18,12,6,4,38,0.655737704918033,20,11
2018,"S.Darnold",-0.996001168819687,NA,12.9538461538462,239,414,2865,17,15,44,138,1,23,31,18,26,25,0.577294685990338,36,29
2018,"T.Brady",5.78449651358529,NA,17.51875,375,570,4355,29,11,23,35,2,7,17,32,10,17,0.657894736842105,19,9
2019,"A.Dalton",-1.23816999120219,NA,15.5892307692308,314,528,3494,16,14,32,73,4,18,20,24,27,4,0.59469696969697,33,25
2019,"A.Rodgers",3.60671563463084,-0.0516914490360389,17.39875,353,569,4002,26,4,46,183,1,11,12,16,8,20,0.620386643233743,25,13
2019,"B.Mayfield",-0.613911631547961,NA,14.32375,317,534,3827,22,21,28,141,3,14,27,18,16,9,0.593632958801498,35,23
2019,"C.Keenum",NA,NA,10.348,160,247,1707,11,5,9,12,1,32,36,38,31,21,0.647773279352227,15,35
2019,"C.Wentz",2.65141809502152,NA,17.24125,388,607,4039,27,7,62,243,1,9,13,9,5,22,0.639209225700165,19,15
2019,"D.Blough",-8.73313556078053,NA,10.872,94,174,984,4,6,8,31,0,39,34,34,39,28,0.540229885057471,39,34
2019,"D.Brees",8.52687067137077,NA,20.4327272727273,281,378,2979,27,4,9,-4,1,24,6,39,6,23,0.743386243386243,1,4
2019,"D.Carr",6.14354845654517,NA,15.2725,361,513,4054,21,8,27,82,2,8,23,23,19,13,0.703703703703704,2,6
2019,"D.Haskins",-5.70998841885419,NA,8.52222222222222,119,203,1365,7,7,20,101,0,35,38,22,34,29,0.586206896551724,36,33
2019,"D.Hodges",-2.74284882959083,-1.65103813858653,6.415,100,160,1063,5,8,21,68,0,37,39,26,38,30,0.625,23,30
2019,"D.Jones",-3.18693819624513,1.24647201471413,16.5369230769231,284,459,3027,24,12,45,279,2,22,15,6,13,14,0.618736383442266,29,32
2019,"D.Lock",2.7693413334534,-1.67771043109242,13.6,100,156,1020,7,3,18,72,0,38,29,25,35,31,0.641025641025641,18,14
2019,"D.Prescott",7.78318990193536,NA,21.11125,388,596,4902,30,11,52,277,3,2,3,7,4,10,0.651006711409396,14,5
2019,"D.Watson",5.00544719597953,1.62482068323162,21.332,333,495,3852,26,12,82,413,7,13,2,4,9,1,0.672727272727273,7,10
2019,"G.Minshew",-0.122448723169701,-0.0916598457163976,15.6966666666667,124,194,1442,9,2,21,125,0,33,19,20,32,32,0.639175257731959,20,22
2019,"G.Minshew II",-1.75896418909475,-0.443808055947248,16.8825,161,276,1829,12,4,46,219,0,29,14,12,30,33,0.583333333333333,37,28
2019,"J.Allen",NA,NA,13.88625,214,367,2407,16,9,98,450,6,28,28,3,28,3,0.583106267029973,38,36
2019,"J.Brissett",0.729646588574379,0.633404191256533,14.4453333333333,272,447,2942,18,6,56,228,4,25,26,11,24,5,0.608501118568233,30,20
2019,"J.Flacco",-2.91015124514315,NA,10.61,171,262,1822,6,5,12,20,0,30,35,37,37,34,0.652671755725191,13,31
2019,"J.Garoppolo",5.13885237630719,NA,15.4575,329,476,3978,27,13,46,62,1,12,22,29,7,24,0.691176470588235,5,9
2019,"J.Goff",3.83823371753584,NA,15.47,394,626,4638,22,16,33,40,2,3,21,32,17,15,0.629392971246006,22,12
2019,"J.Winston",2.49536444851943,0.332505564731723,19.085,380,626,5109,33,30,59,250,1,1,8,8,2,25,0.60702875399361,32,16
2019,"K.Allen",NA,NA,11.5510344827586,303,489,3322,17,16,35,122,2,19,32,21,25,16,0.619631901840491,26,37
2019,"K.Cousins",5.80259733749844,NA,16.2946666666667,307,444,3603,26,6,31,63,1,16,17,28,10,26,0.691441441441441,4,7
2019,"K.Murray",0.114839923190394,-0.0278423412065248,17.83,349,542,3722,20,12,93,544,4,15,10,2,20,6,0.643911439114391,16,21
2019,"L.Jackson",9.66331014715394,3.7855391366216,27.712,265,401,3127,36,6,176,1206,7,21,1,1,1,2,0.660847880299252,10,2
2019,"M.Mariota",-1.04591531342367,NA,12.1457142857143,95,160,1203,7,2,24,129,0,36,31,19,36,35,0.59375,34,24
2019,"M.Rudolph",-1.73559139582565,NA,10.88,176,283,1765,13,9,21,42,0,31,33,31,29,36,0.621908127208481,24,27
2019,"M.Ryan",1.36470232925129,0.744056711626847,17.8226666666667,408,616,4466,26,14,34,147,1,5,11,17,11,27,0.662337662337662,8,19
2019,"M.Stafford",8.66567516546618,NA,20.82,187,291,2499,19,5,20,66,0,27,4,27,22,37,0.642611683848797,17,3
2019,"M.Trubisky",-2.40508033768375,NA,13.5213333333333,326,516,3138,17,10,48,193,2,20,30,14,26,17,0.631782945736434,21,29
2019,"P.Mahomes",9.79156126309391,NA,20.5028571428571,319,484,4031,26,5,43,218,2,10,5,13,12,18,0.659090909090909,12,1
2019,"P.Rivers",4.08336238358072,NA,14.71875,390,591,4615,23,20,12,29,0,4,24,36,15,38,0.65989847715736,11,11
2019,"R.Fitzpatrick",1.71013610494198,NA,16.0973333333333,311,502,3529,20,13,54,243,4,17,18,10,21,7,0.619521912350598,27,18
2019,"R.Tannehill",NA,1.30329005227395,18.6816666666667,201,286,2742,22,6,43,185,4,26,9,15,18,8,0.702797202797203,3,38
2019,"R.Wilson",5.4870255482909,-0.546474269669488,20.4125,341,516,4110,31,5,75,342,3,6,7,5,3,11,0.660852713178295,9,8
2019,"S.Darnold",-1.34417186676891,-0.515045572336441,14.5507692307692,273,441,3024,19,13,33,62,2,23,25,30,23,19,0.619047619047619,28,26
2019,"T.Brady",1.96847105829408,NA,16.48,373,613,4057,24,8,26,34,3,7,16,33,14,12,0.608482871125612,31,17
2019,"T.Bridgewater",NA,-1.82156688042093,10.0511111111111,133,196,1384,9,2,28,31,0,34,37,35,33,39,0.678571428571429,6,39
2020,"A.Dalton",-1.0182609132421,NA,12.3545454545455,216,333,2170,14,8,28,114,0,28,31,22,24,31,0.648648648648649,24,27
2020,"A.Rodgers",11.6407404536328,NA,23.89125,372,526,4299,48,5,38,149,3,7,4,19,1,10,0.707224334600761,1,2
2020,"A.Smith",-4.08847909226467,NA,8.9475,168,252,1582,6,8,10,3,0,34,37,34,36,32,0.666666666666667,15,33
2020,"B.Mayfield",5.48425880829474,-0.438105907674094,15.47625,305,486,3563,26,8,54,165,1,18,25,15,12,24,0.627572016460905,30,12
2020,"B.Roethlisberger",3.67405745363598,NA,17.8146666666667,399,608,3803,33,10,25,11,0,16,13,31,8,33,0.65625,20,19
2020,"C.Newton",-0.30266934624181,1.35290354727711,17.2653333333333,242,368,2657,8,10,137,592,12,24,18,3,34,1,0.657608695652174,18,26
2020,"C.Wentz",-7.24986115386087,0.897024527092678,16.5333333333333,251,437,2620,16,15,52,276,5,25,21,10,20,6,0.574370709382151,36,36
2020,"D.Brees",5.81003714676463,NA,17.4566666666667,275,390,2942,24,6,18,-2,2,20,16,36,17,18,0.705128205128205,2,10
2020,"D.Carr",3.75789673684732,NA,17.0075,348,517,4103,27,9,39,140,3,11,19,21,11,11,0.673114119922631,11,17
2020,"D.Haskins",-5.65316431651546,NA,9.73714285714286,148,241,1439,5,7,20,46,1,36,36,29,37,25,0.614107883817427,34,34
2020,"D.Jones",-1.67719204750108,NA,12.8585714285714,280,448,2943,11,10,65,423,1,19,30,6,28,26,0.625,31,29
2020,"D.Lock",-2.59375958271028,NA,13.9476923076923,254,443,2933,16,15,44,160,3,21,28,16,21,12,0.573363431151242,37,30
2020,"D.Prescott",6.40355901589093,1.77085713340219,26.928,151,222,1856,9,4,18,93,3,31,1,26,32,13,0.68018018018018,8,8
2020,"D.Watson",8.34024721480138,0.895761769523233,23.0825,382,544,4823,33,7,90,444,3,1,6,5,9,14,0.702205882352941,3,4
2020,"G.Minshew II",1.37795880779602,0.844480933042373,17.6966666666667,137,220,1472,10,2,17,93,1,35,14,27,30,27,0.622727272727273,32,24
