passer_player_name,season,MVP,posteam,wins,losses,pct,tot_rushing_yards,tot_rushing_tds,tot_games_played,avg_air_epa,epa_play,avg_wpa,tot_completions,tot_attempts,tot_passing_yards,tot_passing_tds,tot_ints,avg_cpoe,passing_yard_rank,cpoe_rank,avg_wpa_rank,epa_rank,passing_td_rank,completion_percentage,comp_percentage_rank,passing_epa_rank,tot_yards,tot_tds,tot_yard_rank,tot_td_rank,played_ten_games,win_rank
J.Theismann,1983,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
D.Marino,1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
M.Allen,1985,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
L.Taylor,1986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
J.Elway,1987,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
B.Esiason,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
J.Montana,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
J.Montana,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
T.Thomas,1991,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
S.Young,1992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
E.Smith,1993,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
S.Young,1994,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
B.Favre,1995,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
B.Favre,1996,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
B.Favre,1997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
T.Davis,1998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
K.Warner,1999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
M.Faulk,2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
K.Warner,2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1
R.Gannon,2002,1,LV,11,5,0.6875,57,1,6,NA,0.184688601894233,NA,179,276,2048,14,6,NA,27,1,39,3,22,0.648550724637681,3,39,2105,15,27,20.5,0,6
A.Brooks,2002,0,NO,9,7,0.5625,253,2,16,NA,-0.0148021419409753,NA,283,568,3572,27,15,NA,7,2,1,24,2,0.498239436619718,41,1,3825,29,7,2,1,17
A.Feeley,2002,0,PHI,12,4,0.75,6,0,6,NA,-0.0357478682720723,NA,86,161,1011,6,5,NA,45,3,2,28,40,0.53416149068323,33,2,1017,6,45,42.5,0,2.5
B. Griese,2002,0,DEN,9,7,0.5625,48,0,6,NA,0.16466879754283,NA,145,222,1655,5,5,NA,30,4,3,5,43,0.653153153153153,1,3,1703,5,30,44,0,17
B.Favre,2002,0,GB,12,4,0.75,73,0,16,NA,0.0341094475310203,NA,341,577,3658,27,16,NA,6,5,4,16,3,0.590987868284229,13,4,3731,27,8,5.5,1,2.5
B.Griese,2002,0,DEN,9,7,0.5625,59,1,7,NA,-0.0237712334139048,NA,146,248,1559,10,10,NA,31,6,5,25,30,0.588709677419355,15,5,1618,11,32,30.5,0,17
B.Johnson,2002,0,TB,12,4,0.75,30,0,13,NA,0.0906604881550085,NA,281,475,3049,22,6,NA,14,7,6,11,6,0.591578947368421,12,6,3079,22,15,12,1,2.5
C.Chandler,2002,0,CHI,4,12,0.25,32,0,8,NA,-0.185006184550671,NA,103,184,1023,4,4,NA,44,8,7,43,44,0.559782608695652,25,7,1055,4,43,45.5,0,43
C.Hutchinson,2002,0,DAL,5,11,0.3125,74,0,9,NA,-0.358959095159617,NA,127,284,1555,7,8,NA,32,9,8,47,34,0.447183098591549,45,8,1629,7,31,38.5,0,39.5
C.Pennington,2002,0,NYJ,9,7,0.5625,49,2,15,NA,0.248667920768369,NA,275,422,3120,22,6,NA,12,10,9,1,7,0.651658767772512,2,9,3169,24,14,9,1,17
C.Redman,2002,0,BAL,7,9,0.4375,8,0,6,NA,-0.102782246308063,NA,97,193,1034,7,3,NA,43,11,10,39,35,0.50259067357513,39,10,1042,7,44,38.5,0,30.5
D. Bledsoe,2002,0,BUF,8,8,0.5,20,1,4,NA,0.0300117011921853,NA,92,157,1040,6,7,NA,42,12,11,17,41,0.585987261146497,18,11,1060,7,42,38.5,0,23.5
D.Bledsoe,2002,0,BUF,8,8,0.5,47,1,12,NA,0.089316632299361,NA,283,509,3319,18,8,NA,10,13,12,12,12,0.555992141453831,27,12,3366,19,11,15.5,1,23.5
D.Brees,2002,0,LAC,8,8,0.5,103,1,14,NA,-0.0495811890515874,NA,267,458,2710,12,15,NA,18,14,13,31,25,0.58296943231441,20,13,2813,13,19,26,1,23.5
D.Carr,2002,0,HOU,4,12,0.25,282,3,16,NA,-0.254943871166448,NA,233,522,2592,9,15,NA,21,15,14,46,31,0.446360153256705,46,14,2874,12,18,28.5,1,43
D.Culpepper,2002,0,MIN,6,10,0.375,609,10,16,NA,0.0342392774592169,NA,333,596,3853,18,23,NA,3,16,15,15,13,0.558724832214765,26,15,4462,28,1,4,1,36.5
D.McNabb,2002,0,PHI,12,4,0.75,460,6,10,NA,-0.0240679652663377,NA,211,391,2289,17,6,NA,24,17,16,26,15,0.539641943734015,30,16,2749,23,20,11,1,2.5
J. Fiedler,2002,0,MIA,9,7,0.5625,55,2,8,NA,0.0051512981556721,NA,132,228,1445,8,8,NA,35,18,17,22,33,0.578947368421053,21,17,1500,10,35,33,0,17
J. Martin,2002,0,LA,7,9,0.4375,6,0,5,NA,-0.0641600010835642,NA,124,205,1216,7,10,NA,38,19,18,35,36,0.604878048780488,8,18,1222,7,39,38.5,0,30.5
J. Plummer,2002,0,ARI,5,11,0.3125,65,0,5,NA,-0.141076417837693,NA,84,169,815,7,6,NA,47,20,19,42,37,0.497041420118343,42,19,880,7,47,38.5,0,39.5
J.Blake,2002,0,BAL,7,9,0.4375,106,1,10,NA,-0.0416733684218249,NA,165,327,2084,13,11,NA,26,21,20,29,23,0.504587155963303,37,20,2190,14,26,23.5,1,30.5
J.Garcia,2002,0,SF,10,6,0.625,353,3,16,NA,0.147602307524979,NA,328,546,3344,21,10,NA,9,22,21,8,9,0.600732600732601,9,21,3697,24,10,9,1,10
J.Harrington,2002,0,DET,3,13,0.1875,4,0,14,NA,-0.198580185433891,NA,215,437,2294,12,16,NA,23,23,22,44,26,0.491990846681922,43,22,2298,12,25,28.5,1,45.5
J.Kitna,2002,0,CIN,2,14,0.125,57,4,13,NA,-0.0353464823318453,NA,294,498,3178,16,16,NA,11,24,23,27,16,0.590361445783133,14,23,3235,20,13,13.5,1,47
J.Miller,2002,0,CHI,4,12,0.25,11,0,10,NA,-0.0519379637406985,NA,180,331,1944,13,9,NA,28,25,24,32,24,0.54380664652568,28,24,1955,13,28,26,1,43
J.Plummer,2002,0,ARI,5,11,0.3125,218,2,11,NA,-0.0855813662691167,NA,200,399,2157,11,14,NA,25,26,25,37,28,0.50125313283208,40,25,2375,13,24,26,1,39.5
K. Warner,2002,0,LA,7,9,0.4375,33,0,7,NA,-0.117194920904866,NA,144,241,1431,3,11,NA,36,27,26,41,47,0.597510373443983,11,26,1464,3,36,47,0,30.5
K.Collins,2002,0,NYG,10,6,0.625,-3,0,16,NA,0.149991817755194,NA,335,571,4073,19,14,NA,2,28,27,7,11,0.586690017513135,16,27,4070,19,3,15.5,1,10
K.Stewart,2002,0,PIT,10,5,0.65625,191,2,7,NA,0.0267498825133643,NA,109,174,1155,6,6,NA,40,29,28,18,42,0.626436781609195,6,28,1346,8,37,35,0,10
M. Brunell,2002,0,JAX,6,10,0.375,188,0,14,NA,0.0138986370435685,NA,223,415,2560,15,6,NA,22,30,29,20,18,0.537349397590361,31,29,2748,15,21,20.5,1,36.5
M. Bulger,2002,0,LA,7,9,0.4375,-13,1,7,NA,0.154000800750914,NA,138,226,1826,14,6,NA,29,31,30,6,21,0.610619469026549,7,30,1813,15,29,20.5,0,30.5
M.Hasselbeck,2002,0,SEA,7,9,0.4375,202,1,12,NA,0.100345712301596,NA,267,446,3075,15,10,NA,13,32,31,9,19,0.598654708520179,10,31,3277,16,12,18,1,30.5
M.McMahon,2002,0,DET,3,13,0.1875,96,3,6,NA,-0.199247212783018,NA,62,162,874,7,9,NA,46,33,32,45,38,0.382716049382716,47,32,970,10,46,33,0,45.5
M.Vick,2002,0,ATL,9,6,0.59375,777,8,15,NA,0.0245499890239628,NA,231,454,2936,16,8,NA,15,34,33,19,17,0.508810572687225,36,33,3713,24,9,9,1,17
